edgename	CI	
m4 (pp3) k4	95.862971	
k1 (pp3) k4	95.862971	
m4 (pp3) k2	59.518562	
m4 (pp3) k4	59.518562	
k2 (pp3) k4	59.518562	
m4 (pp3) k3	60.368781	
m4 (pp3) k4	60.368781	
k3 (pp3) k4	60.368781	
m4 (pp3) k4	21.708427	
m4 (pp3) k6	21.708427	
k4 (pp3) k6	21.708427	
m4 (pp3) k4	68.373598	
m4 (pp3) k7	68.373598	
k4 (pp3) k7	68.373598	
m4 (pp3) k4	106.4325	
m4 (pp3) p1	106.4325	
k4 (pp3) p1	106.4325	
m4 (pp3) k4	68.230558	
m4 (pp3) p3	68.230558	
k4 (pp3) p3	68.230558	
m4 (pp3) k4	114.28173	
m4 (pp3) r1	114.28173	
k4 (pp3) r1	114.28173	
m4 (pp3) k4	112.84675	
m4 (pp3) r2	112.84675	
k4 (pp3) r2	112.84675	
m4 (pp3) k4	103.55222	
m4 (pp3) r3	103.55222	
k4 (pp3) r3	103.55222	
m4 (pp3) k4	105.24098	
m4 (pp3) r4	105.24098	
k4 (pp3) r4	105.24098	
m4 (pp3) k4	68.20991	
m4 (pp3) q1	68.20991	
k4 (pp3) q1	68.20991	
m4 (pp3) k4	67.979912	
m4 (pp3) q2	67.979912	
k4 (pp3) q2	67.979912	
m4 (pp3) p1	21.635123	
m4 (pp3) r2	21.635123	
p1 (pp3) r2	21.635123	
m5 (pp3) k1	20.685429	
m5 (pp3) p2	20.685429	
k1 (pp3) p2	20.685429	
m5 (pp3) k6	22.718088	
m5 (pp3) p1	22.718088	
k6 (pp3) p1	22.718088	
m5 (pp3) k6	21.494451	
m5 (pp3) r1	21.494451	
k6 (pp3) r1	21.494451	
m5 (pp3) p2	21.108007	
m5 (pp3) r4	21.108007	
p2 (pp3) r4	21.108007	
m5 (pp3) r1	20.398353	
m5 (pp3) r3	20.398353	
r1 (pp3) r3	20.398353	
m6 (pp3) k1	21.818039	
m6 (pp3) r1	21.818039	
k1 (pp3) r1	21.818039	
m6 (pp3) r1	21.233353	
m6 (pp3) r3	21.233353	
r1 (pp3) r3	21.233353	
m6 (pp3) r1	21.533723	
m6 (pp3) r4	21.533723	
r1 (pp3) r4	21.533723	
k1 (pp3) p1	28.235518	
k1 (pp3) r1	28.235518	
p1 (pp3) r1	28.235518	
k1 (pp3) p2	23.185711	
k1 (pp3) r1	23.185711	
p2 (pp3) r1	23.185711	
k2 (pp3) k3	20.123866	
k2 (pp3) k5	20.123866	
k3 (pp3) k5	20.123866	
k2 (pp3) k3	22.452855	
k2 (pp3) p1	22.452855	
k3 (pp3) p1	22.452855	
k2 (pp3) k3	21.468636	
k2 (pp3) r1	21.468636	
k3 (pp3) r1	21.468636	
k2 (pp3) k3	21.83276	
k2 (pp3) r2	21.83276	
k3 (pp3) r2	21.83276	
k2 (pp3) p1	24.318997	
k2 (pp3) r1	24.318997	
p1 (pp3) r1	24.318997	
k2 (pp3) p1	41.154342	
k2 (pp3) r2	41.154342	
p1 (pp3) r2	41.154342	
k3 (pp3) p1	25.252655	
k3 (pp3) r1	25.252655	
p1 (pp3) r1	25.252655	
k3 (pp3) p1	44.954689	
k3 (pp3) r2	44.954689	
p1 (pp3) r2	44.954689	
k3 (pp3) r1	20.639521	
k3 (pp3) r4	20.639521	
r1 (pp3) r4	20.639521	
k4 (pp3) p1	21.538414	
k4 (pp3) r2	21.538414	
p1 (pp3) r2	21.538414	
p1 (pp3) r1	31.065431	
p1 (pp3) r3	31.065431	
r1 (pp3) r3	31.065431	
p1 (pp3) r1	32.083862	
p1 (pp3) r4	32.083862	
r1 (pp3) r4	32.083862	
p2 (pp3) r1	22.742153	
p2 (pp3) r3	22.742153	
r1 (pp3) r3	22.742153	
p2 (pp3) r1	22.139811	
p2 (pp3) r4	22.139811	
r1 (pp3) r4	22.139811	
n1 (pp) g1	34.0663	
n1 (pp) m1	72.0957	
n1 (pp) k1	43.6789	
n1 (pp) r3	29.0109	
n1 (pp) r4	40.4434	
g1 (pp) m1	27.0097	
g1 (pp) k1	77.3523	
g1 (pp) r3	89.8484	
g1 (pp) r4	98.4867	
g2 (pp) p1	22.0091	
g2 (pp) r1	23.8822	
m1 (pp) k1	37.5213	
m1 (pp) r3	22.8682	
m1 (pp) r4	28.9171	
m7 (pp) k7	554.301	
m7 (pp) p3	311.755	
m7 (pp) q1	171.571	
m7 (pp) q2	124.387	
k1 (pp) r3	46.2924	
k1 (pp) r4	62.4189	
k7 (pp) p3	200.206	
k7 (pp) q1	131.847	
k7 (pp) q2	158.132	
p3 (pp) q1	377.113	
p3 (pp) q2	89.0166	
r1 (pp) r2	25.0357	
r3 (pp) r4	99.5295	
q1 (pp) q2	72.1122	
