edgename	CI	
k3 (pp) G152	44.954689	
p1 (pp) G152	44.954689	
r2 (pp) G152	44.954689	
k3 (pp) G153	20.639521	
r1 (pp) G153	20.639521	
r4 (pp) G153	20.639521	
k4 (pp) G154	21.538414	
p1 (pp) G154	21.538414	
r2 (pp) G154	21.538414	
p1 (pp) G155	31.065431	
r1 (pp) G155	31.065431	
r3 (pp) G155	31.065431	
p1 (pp) G156	32.083862	
r1 (pp) G156	32.083862	
r4 (pp) G156	32.083862	
p2 (pp) G157	22.742153	
r1 (pp) G157	22.742153	
r3 (pp) G157	22.742153	
p2 (pp) G158	22.139811	
r1 (pp) G158	22.139811	
r4 (pp) G158	22.139811	
